variant,fold,smlar_flat,monotone_violation,source
A_full,0,27.53,0.00,logs/ablation.log
A_full,1,27.53,0.00,logs/ablation.log
A_full,2,27.53,0.00,logs/ablation.log
A_full,3,27.53,0.00,logs/ablation.log
A_full,4,27.53,0.00,logs/ablation.log
B_no_attn,0,28.94,0.00,logs/ablation.log
B_no_attn,1,28.94,0.00,logs/ablation.log
B_no_attn,2,28.94,0.00,logs/ablation.log
B_no_attn,3,28.94,0.00,logs/ablation.log
B_no_attn,4,28.94,0.00,logs/ablation.log
C_no_distr,0,34.28,0.00,logs/ablation.log
C_no_distr,1,34.28,0.00,logs/ablation.log
C_no_distr,2,34.28,0.00,logs/ablation.log
C_no_distr,3,34.28,0.00,logs/ablation.log
C_no_distr,4,34.28,0.00,logs/ablation.log
D_no_smlar,0,81.86,0.00,logs/ablation.log
D_no_smlar,1,81.86,0.00,logs/ablation.log
D_no_smlar,2,81.86,0.00,logs/ablation.log
D_no_smlar,3,81.86,0.00,logs/ablation.log
D_no_smlar,4,81.86,0.00,logs/ablation.log
E_none,0,61.26,0.0037,logs/ablation.log
E_none,1,61.26,0.0037,logs/ablation.log
E_none,2,61.26,0.0037,logs/ablation.log
E_none,3,61.26,0.0037,logs/ablation.log
E_none,4,61.26,0.0037,logs/ablation.log
