method,leak_safe,cv_smlar_mean,cv_smlar_std,cv_monotone_viol,holdout_smlar,holdout_monotone_viol,ci_type,ci_alpha,ci_coverage_mean,ci_width_mean
catboost-default,True,47.59114456380077,5.487627000381451,0.04715129207882831,40.88114049912637,0.039603960396039604,split_cp,0.1,0.8962835160902793,0.10584540690562684
catboost-optuna,True,43.54557224073343,5.881900224804711,0.0645425964266544,34.48963433529018,0.06435643564356436,split_cp,0.1,0.8954349104107558,0.09524301623821323
mlp-mse,True,67.86040291429963,4.001542940209388,0.10427114485085501,54.13746151936858,0.09405940594059406,split_cp,0.1,0.9157068731947958,0.11719198175495808
mlp-mae,True,37.80240035087949,1.6732614469985023,0.024844720496894408,26.783815455767822,0.0049504950495049506,split_cp,0.1,0.9218873808245789,0.10730717827968257
mlp-huber,True,50.546906856600835,2.5096688667016855,0.06084656084656085,39.25207122887273,0.04455445544554455,split_cp,0.1,0.9198272116146512,0.10592442662779071
mlp-msle,True,30.78417812665167,1.4366718528380888,0.014868491680085883,24.26694062405994,0.04950495049504951,split_cp,0.1,0.9020422769215041,0.09235160398618684
mlp-rmsle,True,42.9125569647833,2.689087579014485,0.022344912199984662,32.53839594300978,0.0,split_cp,0.1,0.9255885284870793,0.10541642794815026
mlp-smlar_smooth,True,29.166003486367792,1.9931344616036282,0.0,22.634635399060656,0.0,split_cp,0.1,0.9082457889221174,0.09400210776144223
monte_carlo+beta,True,28.23709258005756,1.5631735906137239,0.0,23.853116962407018,0.0,split_cp,0.1,0.9061140505584951,0.09237623388566445
set_transformer-A_full,True,27.53261,2.123637,0.0,,,not_computed,,,
set_transformer-B_no_attn,True,28.943006,2.296113,0.0,,,not_computed,,,
set_transformer-C_no_distr,True,34.284481,10.87561,0.0,,,not_computed,,,
set_transformer-E_none,True,61.255783,3.066996,0.003727,,,not_computed,,,
set_transformer-D_no_smlar,True,81.862755,13.878106,0.0,,,not_computed,,,
